abjad|abjat
akta|akte
aktif|aktip
aktivitas|aktifitas
amendemen|amandemen
andal|handal
analisis|analisa
antre|antri
asas|azas
apak|apek
apotek|apotik
aritmetika|aritmatika
atlet|atlit
atmosfer|atmosfir
cabai|cabe
camilan|cemilan
cendekia|cendikia
cenderamata|cinderamata
detail|detil
definisi|difinisi
diagnosis|diagnosa
embus|hembus
ekstra|extra
ekstrem|ekstrim
esai|esei
februari|pebruari
fondasi|pondasi
formal|formil
frasa|frase
frekuensi|frekwensi
gizi|gisi
hafal|hapal
hakikat|hakekat
hipotesis|hipotesa
hierarki|hirarki
ijazah|ijasah
izin|ijin
imbau|himbau
isap|hisap
istri|isteri
jadwal|jadual
jenazah|jenasah
jenderal|jendral
justru|justeru
kafetaria|kafeteria
kalender|kalendar
karier|karir
katapel|ketapel
kategori|katagori
kedaluwarsa|kadaluwarsa
kendaraan|kenderaan
komplet|komplit
konferensi|konperensi
kongres|konggres
konkret|kongkrit
kreativitas|kreatifitas
kualifikasi|kwalifikasi
kualitatif|kwalitatif
kuantitatif|kwantitatif
kualitas|kwalitas
kuitansi|kwitansi
lubang|lobang
makhluk|mahluk
manajemen|menejemen
masjid|mesjid
merek|merk
meterai|materai
meterai|meterei
metode|metoda
miliar|milyar
misi|missi
modern|moderen
mubazir|mubadir
mulia|mulya
mungkir|pungkir
napas|nafas
narasumber|nara
nasihat|nasehat
objek|obyek
objektif|obyektif
paham|faham
parlemen|parlamen
paspor|pasport
peduli|perduli
pikir|fikir
praktik|praktek
provinsi|propinsi
rabu|rebo
risiko|resiko
sah|syah
sanggama|senggama
sekadar|sekedar
sekuler|sekular
seluler|selular
semadi|semedi
sentral|central
seprai|seprei
silakan|silahkan
sirkuler|sirkular
sistem|sistim
saksama|seksama
subjek|subyek
subjektif|subyektif
surga|sorga
survei|survai
survei|survey
tampak|nampak
teladan|tauladan
teknik|tehnik
teknologi|tehnologi
telanjur|terlanjur
telantar|terlantar
terampil|trampil
vila|villa
wakaf|waqaf
wujud|ujud
yudikatif|yudikatip
ubah|rubah
zaman|jaman
alpa|alfa
baik|bae
balas|bales
belum|belom
capai|capek
dalam|dalem
dapat|dapet
disahkan|disyahkan
februari|febuari
hilang|ilang
ikhlas|iklas
ingat|inget
itikad|itikat
jumat|jumaat
karena|karna
kasier|kasir
karisma|kharisma
kepada|kapada
kerap|kerab
kaidah|kaedah
khatulistiwa|katulistiwa
khawatir|kawatir
konkret|konkrit
kuadrat|kwadrat
kuantum|kwantum
kuis|kuiz
lazim|lajim
losin|lusin
maaf|maap
macam|macem
malas|males
manfaat|manpaat
nomor|nomer
materai|matere
mengesampingkan|mengenyampingkan
mengubah|merubah
padat|padet
pelanggan|langganan
pensil|pinsil
pertanggung jawaban|pertanggungjawab
pihak|fihak
populer|popular
rapat|rapet
sampai|ampe
selesai|selese
seperti|kayak
aksi|action
anarki|anarkhi
anggota|anggauta
biosfer|biosfir
cepat|cepet
debit|debet
devaluasi|defaluasi
doa|do'a
diam|diem
daftar|daptar
dipersilakan|dipersilahkan
ekuivalen|ekwivalen
elite|elit
familier|familiar
glucose|glukosa
grup|group
genting|genteng
gubuk|gubug
hectare|hektar
heterogen|hetrogen
hipotek|hipotik
hierarki|hirarkhi
hanya|cuma
habis|abis
ideologi|idiologi
ikhlas|ihlas
interogasi|interograsi
introspeksi|interospeksi
interupsi|intrupsi
institut|institute
kalau|kalo
kuantitas|kwantitas
kuota|kwota
kredit|kridit
linear|linier
manajemen|managemen
masal|missal
misal|missal
masal|massal
manajer|menejer
monarki|monarkhi
moral|moril
netralisasi|netralisir
omzet|omset
pengkreditan|pengreditan
teknologi|tekhnologi
universitas|university
varietas|varitas
adakalanya|ada kalanya
apabila|apa bila
bagaimana|bagai mana
barangkali|barang kali
bilamana|bila mana
beasiswa|bea siswa
belasungkawa|bela sungkawa
bumiputra|bumi putra
daripada|dari pada
darmabakti|darma bakti
darmasiswa|darma siswa
dukacita|duka cita
hulubalang|hulu balang
kacamata|kaca mata
kasatmata|kasat mata
kepada|ke pada
keratabasa|kerata basa
kosakata|kosa kata
lokakarya|loka karya
manakala|mana kala
manasuka|mana suka
mangkubumi|mangku bumi
marabahaya|mara bahaya
matahari|mata hari
olahraga|olah raga
